Question,Text_File,Retrieved_document_1,Retrieved_document_2,Retrieved_document_3,Precision @ 1,Precision @ 2,Precision @ 3,,,K,Avg Precision @ K,Avg Recall @k,Avg F1 @ K
Name two Centres of Excellence at IIIT-Delhi.,www.iiitd.ac.in_.txt,www.iiitd.ac.in_ copy.txt,www.iiitd.ac.in_sa copy.txt,www.iiitd.ac.in_life_hostels copy.txt,100,50,33.33,,,,,,
What are the requirements for a student to start a B.Tech. Project (BTP) at IIIT-Delhi?,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_btp copy.txt,www.iiitd.ac.in_academics_btech_btp copy.txt,www.iiitd.ac.in_academics_btech_honors copy.txt,100,100,66.67,,,,,,
How is the B.Tech. Project (BTP) evaluated and what is the process for final presentation at IIIT-Delhi?,www.iiitd.ac.in_academics_btech_btp.txt,www.iiitd.ac.in_academics_btech_btp copy.txt,www.iiitd.ac.in_academics_btech_btp copy.txt,www.iiitd.ac.in_academics_btech_honors copy.txt,100,100,66.67,,,,,,
What are the requirements for a student to enroll in the Honors Program at IIIT-Delhi?,www.iiitd.ac.in_academics_btech_honors.txt,www.iiitd.ac.in_academics_btech_honors copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,100,50,33.33,,,,,,
How is the Honors Program at IIIT-Delhi designed to cater to students?,www.iiitd.ac.in_academics_btech_honors.txt,www.iiitd.ac.in_academics_btech_honors copy.txt,www.iiitd.ac.in_ copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,100,50,33.33,,,,,,
"What are the eligibility criteria for tenure-track faculty positions at IIIT-Delhi, specifically for the Assistant Professor level?",www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,100,100,100,,,,,,
What benefits are provided to regular faculty at IIIT-Delhi?,www.iiitd.ac.in_careers_faculty.txt,www.iiitd.ac.in_careers_faculty copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,www.iiitd.ac.in_ copy.txt,100,100,66.67,,,,,,
What dining options are available at IIIT-Delhi and during what hours do they operate?,www.iiitd.ac.in_facilities_dining.txt,www.iiitd.ac.in_facilities_dining copy.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_sa copy.txt,100,50,33.33,,,,,,
What are the mess timings at IIIT-Delhi?,www.iiitd.ac.in_facilities_dining.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_facilities_dining copy.txt,www.iiitd.ac.in_sa copy.txt,0,50,33.33,,,,,,
What types of guest house accommodations are available at IIIT-Delhi and what are their rates including GST?,www.iiitd.ac.in_facilities_guesthouse.txt,www.iiitd.ac.in_facilities_guesthouse copy.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_sa copy.txt,100,50,33.33,,,,,,
What are the meal rates at the IIIT-Delhi guest house?,www.iiitd.ac.in_facilities_guesthouse.txt,www.iiitd.ac.in_facilities_guesthouse copy.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_facilities_dining copy.txt,100,50,33.33,,,,,,
What are the medical facilities available at IIIT-Delhi's Health Centre and their availability?,www.iiitd.ac.in_facilities_medical.txt,www.iiitd.ac.in_facilities_medical copy.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_sa copy.txt,100,50,33.33,,,,,,
How can one contact the IIIT-Delhi Health Centre in case of an emergency?,www.iiitd.ac.in_facilities_medical.txt,www.iiitd.ac.in_facilities_medical copy.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_sa copy.txt,100,50,33.33,,,,,,
What types of accommodations and facilities are available in IIIT-Delhi hostels?,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_facilities_guesthouse copy.txt,www.iiitd.ac.in_sa copy.txt,100,50,33.33,,,,,,
How does IIIT-Delhi ensure the wellbeing and security of its hostel residents?,www.iiitd.ac.in_life_hostels.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_sa copy.txt,www.iiitd.ac.in_facilities_medical copy.txt,100,50,33.33,,,,,,
What is the process for companies to participate in the campus placement process at IIIT-Delhi?,www.iiitd.ac.in_placement_procedure.txt,www.iiitd.ac.in_placement_procedure copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,100,50,33.33,,,,,,
What are the policies regarding job offers and student eligibility for campus placements at IIIT-Delhi?,www.iiitd.ac.in_placement_procedure.txt,www.iiitd.ac.in_placement_procedure copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,www.iiitd.ac.in_careers_faculty copy.txt,100,50,33.33,,,,,,
"What are the main objectives behind the establishment of IIIT-Delhi, and where is its permanent campus located?",www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_sa copy.txt,www.iiitd.ac.in_ copy.txt,www.iiitd.ac.in_life_hostels copy.txt,100,50,33.33,,,,,,
What facilities and committees are available to IIIT-Delhi students for extracurricular activities and their overall well-being?,www.iiitd.ac.in_sa.txt,www.iiitd.ac.in_life_hostels copy.txt,www.iiitd.ac.in_sa copy.txt,www.iiitd.ac.in_facilities_medical copy.txt,0,50,33.33,,,,,,
"What is the significance of the Taj Mahal's construction, and who was it built by?",www.tajmahal.gov.in_about-agra.aspx.txt,www.tajmahal.gov.in_about-agra copy.aspx.txt,www.tajmahal.gov.in_nearby-attractions copy.aspx.txt,www.tajmahal.gov.in_nearby-attractions copy.aspx.txt,100,50,33.33,,,,,,
"What is the Agra Fort known for, and which Mughal emperors were involved in its construction and transformation?",www.tajmahal.gov.in_about-agra.aspx.txt,,www.tajmahal.gov.in_about-agra copy.aspx.txt,www.tajmahal.gov.in_about-agra copy.aspx.txt,100,100,100,,,,,,
"What were the circumstances of Empress Mumtaz Mahal's death, and how did Emperor Shah Jahan respond to her passing?",www.tajmahal.gov.in_about-mumtaz-mahal.aspx.txt,www.tajmahal.gov.in_about-mumtaz-mahal copy.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,www.tajmahal.gov.in_nearby-attractions copy.aspx.txt,100,100,33.33,,,,,,
"How was Mumtaz Mahal's fortune distributed after her death, and what monumental project did Shah Jahan undertake in her memory?",www.tajmahal.gov.in_about-mumtaz-mahal.aspx.txt,www.tajmahal.gov.in_about-mumtaz-mahal copy.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,www.tajmahal.gov.in_nearby-attractions copy.aspx.txt,100,50,33.33,,,,,,
"What architectural styles and techniques were integrated into the design of the Taj Mahal, and how did these influences manifest in its construction?",www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt,www.tajmahal.gov.in_creation-history-of-taj-mahal copy.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,100,100,100,,,,,,
"Who were some of the key figures involved in the construction of the Taj Mahal, and what were their contributions?",www.tajmahal.gov.in_creation-history-of-taj-mahal.aspx.txt,www.tajmahal.gov.in_creation-history-of-taj-mahal copy.aspx.txt,www.tajmahal.gov.in_nearby-attractions copy.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,100,50,33.33,,,,,,
"What is the Light and Sound Show at the Taj Mahal, and what does it offer to visitors?",www.tajmahal.gov.in_light-and-sound-show.aspx.txt,www.tajmahal.gov.in_light-and-sound-show copy.aspx.txt,www.tajmahal.gov.in_night-view copy.aspx.txt,www.tajmahal.gov.in_visiting-hours copy.aspx.txt,100,50,33.33,,,,,,
"When are the Light and Sound Show timings, and what are the ticket rates?",www.tajmahal.gov.in_light-and-sound-show.aspx.txt,www.tajmahal.gov.in_light-and-sound-show copy.aspx.txt,www.tajmahal.gov.in_visiting-hours copy.aspx.txt,www.tajmahal.gov.in_night-view copy.aspx.txt,100,100,66.67,,,,,,
What are some of the key historical and architectural sites to visit near the Taj Mahal in Agra?,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_about-agra copy.aspx.txt,www.tajmahal.gov.in_nearby-attractions copy.aspx.txt,www.tajmahal.gov.in_about-agra copy.aspx.txt,100,100,100,,,,,,
What unique experiences and festivals can visitors enjoy in Agra besides exploring its architectural heritage?,www.tajmahal.gov.in_nearby-attractions.aspx.txt,www.tajmahal.gov.in_nearby-attractions copy.aspx.txt,www.tajmahal.gov.in_about-agra copy.aspx.txt,www.tajmahal.gov.in_about-agra copy.aspx.txt,100,100,100,,,,,,
"How can visitors experience the Taj Mahal at night, and what makes this experience unique?",www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_night-view copy.aspx.txt,www.tajmahal.gov.in_light-and-sound-show copy.aspx.txt,www.tajmahal.gov.in_visiting-hours copy.aspx.txt,100,100,66.67,,,,,,
What are the requirements and ticket prices for the Taj Mahal's night viewing?,www.tajmahal.gov.in_night-view.aspx.txt,www.tajmahal.gov.in_night-view copy.aspx.txt,www.tajmahal.gov.in_visiting-hours copy.aspx.txt,www.tajmahal.gov.in_light-and-sound-show copy.aspx.txt,100,100,66.67,,,,,,
"What are the key features of the Taj Mahal's exterior decoration, and how do they reflect the architectural synthesis of the monument?",www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,100,100,66.67,,,,,,
How do the minarets and the main finial contribute to the overall symbolism and aesthetic of the Taj Mahal?,www.tajmahal.gov.in_the-taj-exteriors.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,100,100,100,,,,,,
"What are the key features and elements of the interior decoration within the Taj Mahal, and how do they contribute to the monument's overall ambiance?",www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,www.tajmahal.gov.in_the-taj-exteriors copy.aspx.txt,100,100,100,,,,,,
How does the design of the cenotaphs within the Taj Mahal reflect the monument's symbolic representation of eternal love and the afterlife?,www.tajmahal.gov.in_the-taj-interiors.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,www.tajmahal.gov.in_the-taj-interiors copy.aspx.txt,100,100,100,,,,,,
"What are the visiting hours for the Taj Mahal, and are there any specific days when it is closed to the public?",www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_visiting-hours copy.aspx.txt,www.tajmahal.gov.in_night-view copy.aspx.txt,www.tajmahal.gov.in_light-and-sound-show copy.aspx.txt,100,100,100,,,,,,
"What are the ticket prices for visiting the Taj Mahal, and are there any discounts available for online purchases?",www.tajmahal.gov.in_visiting-hours.aspx.txt,www.tajmahal.gov.in_visiting-hours copy.aspx.txt,www.tajmahal.gov.in_night-view copy.aspx.txt,www.tajmahal.gov.in_light-and-sound-show copy.aspx.txt,100,100,100,,,,,,
